name,branch,region,district,phone,email
KUSEKWA MEMORIAL SECONDARY SCHOOL,BARIADI,Dar Es Salaam,,754097297,kusekwamemorialsecondary@gmail.com
CASTLE HILL SCHOOL,GOBA,Dar Es Salaam,Ubungo,0719858596,amonijulian@yahoo.co.uk
MOUNT THOMAS SCHOOLS,GONGO LA MBOTO,Dar Es Salaam,,073814121,mountthomasschools@gmail.com
JUBILATION SCHOOLS,HOLLAND,Dar Es Salaam,Kinondoni,784789802,ffredy@jubilationschoolstz.ac.tz
MICHAEL MAUSA MEMORIAL SCHOOL,HOLLAND,Dar Es Salaam,Ilala,754780178,mutemi.daudi@yahoo.com
NEW ERA MONTESSORI,KARIAKOO,Dar Es Salaam,Kinondoni,762401324,senirichard_senico@yahoo.com
ST. MAXIMILLIAN PRI & SEC SCHOOL,KARIAKOO,Dar Es Salaam,Ilala,784594072,krzcie@yahoo.com
UPANGA TRANSPORT COMPANY,KAWE,Dar Es Salaam,Kinondoni,715293773,upangatransport@yahoo.com
HANNAH BENNIE SCHOOLS,KIBADA,Dar Es Salaam,Kigamboni,743262636,hbs.ac.tz@gmail.com
FEZA BOYS SECONDARY SCHOOL,KIJITONYAMA,Dar Es Salaam,Kinondoni,620653938,dadede@fezaschools.org
FEZA GIRLS SECONDARY SCHOOL,KIJITONYAMA,Dar Es Salaam,Kinondoni,620653938,zakiairembe@fezaschools.org
BRIGHT FUTURE GIRLS SECONDARY SCHOOL,LUMUMBA,Dar Es Salaam,Ilala,788520227,sangae928@gmail.com
MOUNT EVEREST SCHOOL LTD,LUMUMBA,Dar Es Salaam,Kinondoni,255682292217,jevarist95@outlook.com
UNIVERSAL COLLEGE OF AFRICA,LUMUMBA,Dar Es Salaam,Ilala,655003191,pascaliarobi@yahoo.com
ATLAS SCHOOL,MABIBO AGENCY,Dar Es Salaam,Ubungo,784976564,wiseruggy@gmail.com
EMMANUEL ENGLISH MEDIUM SCHOOL,MABIBO AGENCY,Dar Es Salaam,Kinondoni,757910554,japhetgresimo84@gmail.com
GIFT SKILFUL EDUCATION DEV TRUST,MAGOMENI,Dar Es Salaam,Ubungo,715382980,oleabraham@gmail.com
JOYLAND SCHOOL,MBAGALA,Dar Es Salaam,Kigamboni,626649600,calistermungwe@joylandinternational.sc.tz
BAHARI DAYCARE CENTRE,MBEZI BEACH,Dar Es Salaam,Kinondoni,754590568,emwenda@hotmail.com
HOLY GHOST FATHERS - LIBERMANN BOYS SECONDARY SCHOOL,MBEZI BEACH,Dar Es Salaam,Kinondoni,784301017,libermannschool@gmail.com
KONSALT JUNIOR ACADEMY,MBEZI BEACH,Dar Es Salaam,Ubungo,0767020250,eva.hyera@crdbbank.com
MOUNT KIBO SCHOOLS,MBEZI BEACH,Dar Es Salaam,Kinondoni,767541535,herieliaheri@gmail.com
MWL JULIUS K NYERERE SCHOOL,MBEZI BEACH,Dar Es Salaam,Kinondoni,754834971,boazmoses@yahoo.com
ROYAL ELITE SCHOOLS,MBEZI BEACH,Dar Es Salaam,Kinondoni,784761615,sijaona_swai@yahoo.com
YOHANE MERLIN NURSERY SCHOOL,MBEZI BEACH,Dar Es Salaam,Kinondoni,688732150,schoolyohane@gmail.com
CLEVER TOTS NURSERY AND DAY CARE,MBEZI LUIS,Dar Es Salaam,Ubungo,754287019,zamarady20@gmail.com
LIZ AND PETE EDUCARE ACADEMY,MBEZI LUIS,Dar Es Salaam,Ubungo,754398567,vupel@yahoo.com
MECKIE CREATIVE LEARNING SCHOOL LTD,MBEZI LUIS,Dar Es Salaam,Ubungo,762338337,jzkimwaga@gmail.com
THE BRITISH SCHOOL,MIKOCHENI,Dar Es Salaam,Kinondoni,655701421,jmushimj@gmail.com
KIDSJOY DAYCARE CENTER,MLIMANI CITY,Dar Es Salaam,Kinondoni,754711221,willemaro@gmail.com
MOFET CO. LTD,MLIMANI CITY,Dar Es Salaam,Kinondoni,714414282,moseskyando@yahoo.com
MWENYEHERI ANUARITE SCHOOLS,MLIMANI CITY,Dar Es Salaam,Ilala,754383819,desideriusrugemalira@gmail.com
CITY COLLEGE OF HEALTH AND ALLIED SCIENCES,OYSTERBAY,Dar Es Salaam,,652784019,abubakari@ccohas.co.tz
KIGAMBONI CITY COLLEGE OF HEALTH AND ALLIED SCIENCES,OYSTERBAY,Dar Es Salaam,,714693504,abubakari@kiccohas.ac.tz
ATLAS MADALE SCHOOL,PUGU,Dar Es Salaam,Kinondoni,764087901,sylivanusrugambwa@gmail.com
ATLAS SECONDARY SCHOOL,PUGU,Dar Es Salaam,Kinondoni,754651656,zanaphilipo@gmail.com
TANEEM EDUCATION FOUNDATION LTD,QUALITY CENTRE BRANCH,Dar Es Salaam,Temeke,684114090,basattz@yahoo.com
FOUNTAIN GATE ACADEMY,TABATA,Dar Es Salaam,Ilala,756006006,carlig415@gmail.com
FOUNTAIN GATE ACADEMY TABATA,TABATA,Dar Es Salaam,Ilala,682595911,ayoubkabono@gmail.com
CANOSSA SECONDARY SCHOOL,TEGETA,Dar Es Salaam,Kinondoni,787151341,bursarneafrica@gmail.com
DESTINY SECONDARY SCHOOL,TEGETA,Dar Es Salaam,Kinondoni,767130059,godwinsamwelm@gmail.com
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES,TEGETA,Dar Es Salaam,Kinondoni,754068832,balulamdb@yahoo.com
MILESTONES ACADEMY,TEGETA,Dar Es Salaam,Kinondoni,782151523,elpidy.kavishe@jece.co.tz
MOGA SCHOOLS LIMITED,TEGETA,Dar Es Salaam,Kinondoni,713770693,moga01@live.com
MOTHER OF MERCY JUNIOR ACADEMY,TEGETA,Dar Es Salaam,Kinondoni,719992872,grationmbelwa1@gmail.com
NYAISHOZI COLLEGE OF BUSINESS AND COMPUTING TECHNOLOGY,TEGETA,Dar Es Salaam,Kinondoni,754261617,ingalinda@ngalinda.com
WAZO HILL HIGH SCHOOL,TEGETA,Dar Es Salaam,Kinondoni,655550755,hsuya@vgk.co.tz
HOLY FAMILY SCHOOL,TEMEKE,Dar Es Salaam,Ilala,715647384,boscomganwa1@gmail.com
MWAKASEGE DAY CARE CENTRE,TEMEKE,Dar Es Salaam,,787012181,mwakasegedaycarecentre@gmail.com
STABELA SCHOOL,TEMEKE,Dar Es Salaam,Temeke,712001381,adamsonthomson@gmail.com
ST ANNE MARIE TRUST,TOWER,Dar Es Salaam,Ubungo,784955076,stella.rweikiza@gmail.com
LOYOLA HIGH SCHOOL,UBUNGO,Dar Es Salaam,Ubungo,789173420,loyolafinancedepartment@gmail.com
ST JAMES SCHOOLS LIMITED,VIJANA,Dar Es Salaam,Ilala,754699446,mwantuke@gmail.com
GENIUS KINGS JUNIOR SCHOOL,WATERFRONT,Dar Es Salaam,Ilala,787670006,machagek@hotmail.com
SISTERS OF ST.JOSEPH,WATERFRONT,Dar Es Salaam,,758663809,monicamwanzui12@gmail.com
SMART KIDS CAMBRIGDE SCHOOL,MICHENZANI,Mjini Magharibi,Magharibi ''B'',778839801,fatemamohamedali@gmail.com
HEROES COMMUNITY ACADEMY,ZANZIBAR,Mjini Magharibi,Magharibi ''B'',0773110738,gasica50@hotmail.com
MICROTECH INSTITUTE OF BUSINESS AND TECHNOLOGY,ZANZIBAR,Mjini Magharibi,Magharibi ''B'',0774678880,microtech17@gmail.com
SSP HIGH SCHOOL,ZANZIBAR,Mjini Magharibi,Magharibi ''B'',773941979,yu-nu@hotmail.com
TRIFONIA ACADEMY,ZANZIBAR,Mjini Magharibi,Magharibi ''B'',715612030,myambag@yahoo.com
AMBASHA ISLAMIC HIGH SCHOOL,PEMBA,Pemba North,,658557077,ambashaislamic1@gmail.com
FARAHEDY SECONDARY SCHOOL,PEMBA,Pemba South,Chake Chake,776444484,aminihaji499@gmail.com
SKULI YA SEKONDARI ALI KHAMIS CAMP,PEMBA,Pemba South,,713968600,alikhamiscampschool@gmail.com
ZANZIBAR COLLEGE OF BUSINESS EDUCATION,PEMBA,Pemba South,,715814882,ngalula08@gmail.com
EAST COAST SECONDARY SCHOOL,AZIKIWE PREMIER,Pwani,Kibaha,0754380895,bhokehoney@yahoo.co.uk
GENIUS KINGS SECONDARY SCHOOL,BAGAMOYO,Pwani,Bagamoyo,784263632,juliusrutabanja@gmail.com
MARIAN BOYS HIGH SCHOOL,BAGAMOYO,Pwani,Bagamoyo,754763794,pajaosoa@yahoo.com
MARIAN GIRLS HIGH SCHOOL,BAGAMOYO,Pwani,Bagamoyo,754763794,linah.james37@gmail.com
MARIAN UNIVERSITY COLLEGE,BAGAMOYO,Pwani,Bagamoyo,762006799,bursarrrr@maruco.ac.tz
PREMIER BOYS SECONDARY SCHOOL,BAGAMOYO,Pwani,Bagamoyo,715836237,premierboysbagamoyo@gmail.com
PREMIER GIRLS SECONDARY SCHOOL,BAGAMOYO,Pwani,Bagamoyo,715836237,ayshamzee@yahoo.com
IMPERIAL SECONDARY SCHOOL,KIBADA,Pwani,,754542302,yohanamtweve@gmail.com
MU-GILI COMPANY LIMITED,KIBAHA,Pwani,Kibaha,753604102,joyce.edward45@yahoo.com
ST. MARY'S JUNIOR SEMINARY - VISIGA,KIBAHA,Pwani,Kibaha,655330260,st.maryjr_seminary@yahoo.com
WAAMUZI SECONDARY SCHOOL,KIBAHA,Pwani,Kibaha,654189521,waamuziemail@gmail.com
HERITAGE SECONDARY SCHOOL,KIBAMBA,Pwani,Kibaha,716640474,josephat.jacqueline@gmail.com
CHRISTON MEMORIAL EDUCATIONAL INSTITUTIONS LTD,PUGU,Pwani,Kisarawe,625931119,vedkilenga2601@gmail.com
JOSTIHEGO SECONDARY SCHOOL,UBUNGO,Pwani,Kibaha,0754563908,jostihegoschools@gmail.com
SOUTH EAST COAST EDUCATIONAL DEVELOPMENT,MICHENZANI,South,South,776914788,admin@seczanzibar.com
ALHARAMAIN INTERNATIONAL SCHOOL,ZANZIBAR,Zanzibar,Urban,655758548,s.hemed@hotmail.com
AL-HARAMAIN INTERNATIONAL SCHOOL,ZANZIBAR,Zanzibar,,0655758548,mayugwa444@gmail.com
FRANCIS MARIA LIBERMANN SCHOOL,ZANZIBAR,Zanzibar,West B,713612385,mchombaj@gmail.com
IMPERIAL COLLEGE OF HEALTH AND ALLIED SCIENCES,ZANZIBAR,Zanzibar,West B,779969699,mozaibrahim2001@gmail.com
MEMON ACADEMY ZANZIBAR,ZANZIBAR,Zanzibar,Urban,784,ayub30@hotmail.com
SMART KIDS INTERNATIONAL SCHOOL,ZANZIBAR,Zanzibar,Urban,778839501,fatema@smartkidztz.com
ST. MONICA SCHOOL,ZANZIBAR,Zanzibar,Urban,621539135,secretary@zanzibaranglican.or.tz
STREETER'S SKILLED SCHOOL,ZANZIBAR,Zanzibar,Urban,0777424929,streetersclass@hotmail.com
TANWIR ISALMIC SEMINARY,ZANZIBAR,Zanzibar,Magharib B,773659450,mtumwaseif55@gmail.com
SOMBIRO ACADEMY,MPANDA,Katavi,Mpanda,0754445557,mawallatowo@gmail.com
NG'AMBA SECONDARY SCHOOL,AZIKIWE,Mbeya,,754491517,mateelucy0@gmail.com
ARISE SECONDARY SCHOOL,MBEYA,Mbeya,Mbeya,767118822,mayalajenifa@gmail.com
GOD'S BRIDGE MBALIZI ENGLISH MEDIUM SCHOOLS,MBEYA,Mbeya,Mbeya,764600726,mwantonaa1969@yahoo.com
GOD'S BRIDGE SEC SCHOOL,MBEYA,Mbeya,Mbeya,764600726,mwantonaa1969@gmail.com
K'S ROYAL COLLEGE OF HEALTH AND ALLIED SCIENCES,MBEYA,Mbeya,Mbeya,767086485,m.m.ishengoma@gmail.com
MBEYA HERITAGE CO LTD,MBEYA,Mbeya,Mbeya,786277077,mnasi@mnasi.co.tz
SWILLA SECONDARY SCHOOL,MBEYA,Mbeya,Mbeya,753218865,swillaschools@gmail.com
GOD'S BRIDGE SONGWE ENGLISH MEDIUM SCHOOLS,MBOZI,Mbeya,Mbeya,764600726,mwantonaagbsems@yahoo.com
HASANGA BOYS SEC SCHOOL,MBOZI,Mbeya,Mbeya,755059545,hasangaboyssecondaryschool@gmail.com
HASANGA GIRLS SEC SCHOOL,MBOZI,Mbeya,Mbeya,755059545,hasangagirlssecondaryschool@gmail.com
GOD'S BRIDGE ENGLISH MEDIUM SCHOOLS,MWANJELWA,Mbeya,Rungwe,764600726,mwantonaa@gmail.com
GOD'S BRIDGE SECONDARY SCHOOL,MWANJELWA,Mbeya,Rungwe,764600726,mwantonaa@yahoo.com
HARRISON UWATA GIRLS HIGH SCHOOL,MWANJELWA,Mbeya,Mbeya,759243753,harrisonuwata@gmail.com
HARRISON UWATA GIRLS' HIGH SCHOOL,MWANJELWA,Mbeya,Mbeya,759243753,janethkanuya@gmail.com
ST. AUGUSTINE UNIVERSITY OF TANZANIA - MBEYA CENTRE,MWANJELWA,Mbeya,Mbeya,788520932,masanguag@gmail.com
ST. JOHN COLLEGE OF HEALTH SCIENCES,MWANJELWA,Mbeya,Mbeya,754331443,johanneskallya@gmail.com
ST.MARCUS SCHOOLS,MWANJELWA,Mbeya,Mbeya,754315922,mulugofabian@gmail.com
UWATA BOYS SECONDARY SCHOOL,MWANJELWA,Mbeya,Mbeya,764809944,uwataboys@gmail.com
ST. AGGREY TEACHERS' COLLEGE,UYOLE,Mbeya,Mbeya,754418743,tausiaggrey0@gmail.com
COLLEGINE GIRLS SEC SCHOOL,MAKAMBAKO,Njombe,Njombe,762761576,ksr.renalda@gmail.com
ILEMBULA INSTITUTE OF HEALTH AND ALLIED SCIENCES,MAKAMBAKO,Njombe,Wanging'Ombe,757007083,ilembulaihas@gmail.com
LYANIKA SECONDARY SCHOOL,MAKAMBAKO,Njombe,Njombe,755403208,renatusmich@gmail.com
SELENGA ENGLISH MEDIUM SCHOOL,MAKAMBAKO,Njombe,Njombe,784347210,selengaprimaryschool@gmail.com
ZIGA ENGLISH MEDIUM ACADEMY,MAKAMBAKO,Njombe,,676891045,ziga.academy@gmail.com
GILGAL SECONDARY SCHOOL,NJOMBE,Njombe,Njombe,767802766,lucychikwanda@gmail.com
MT.BAKITA PR. SCHOOL,NJOMBE,Njombe,Njombe,768532541,mayembaemilia@gmail.com
NJELELA SECONDARY SCHOOL,NJOMBE,Njombe,Ludewa,627651007,melodiusmlowe@yahoo.com
ROMAN BOYS SEC SCHOOL,NJOMBE,Njombe,Njombe,755719117,ursulalinus@gmail.com
ST MARIA GIRLS' SECONDARY SCHOOL,WANGING'OMBE,Njombe,Wanging'Ombe,743140583,luwumba187@gmail.com
ST MONICA RELIGIOUS SEMINARY,WANGING'OMBE,Njombe,Wanging'Ombe,762372123,stmonicagirls01@gmail.com
ST. MAURUS CHEMCHEMI TEACHER'S COLLEGE,SUMBAWANGA,Rukwa,,000000000,josephmvimwa20@gmail.com
ST.MAURUS CHEMCHEMI SECONDARY SCHOOL,SUMBAWANGA,Rukwa,,000000000,chemchemistmaurus@gmail.com
TWIZA SECONDARY SCHOOL,TUNDUMA,Songwe,Momba,753354045,sichalweelias@yahoo.com
KAIZIREGE ENGLISH MEDIUM BOARDING SCHOOL,BUKOBA,Kagera,Bukoba,677848343,eustokaizirege@gmail.com
MULEBA SECONDARY SCHOOL,MULEBA,Kagera,Muleba,756057029,muganyizikaino@gmail.com
BUHONGWA COLLEGE OF HEALTH AND ALLIED SCIENCE,BUHONGWA,Mwanza,,765246735,bucohas@gmail.com
MACWISH COLLEGE OF HEALTH AND ALLIED SCIENCES,BUHONGWA,Mwanza,,763750474,ernestwishi@gmail.com
BIDII SECONDARY SCHOOL,ILEMELA BRANCH,Mwanza,,766179038,bidiisec1@gmail.com
KILIMANJARO SCHOOL,MBEZI LUIS,Mwanza,,754830062,kilimanjaroschools@gmail.com
AFRICA INLAND CHURCH TANZANIA (AICT),MWANZA,Mwanza,Nyamagana,756948956,aict.chiefacc@gmail.com
PRINCETOM JUNIOR ACADEMY,MWANZA,Mwanza,Sengerema,756826122,princetomjuniorschool@gmail.com
THE LION OF JUDAH ACADEMY,MWANZA,Mwanza,,784535832,josephalesmtebe@gmail.com
ELABS SOCIAL ENTERPRISE,SENGEREMA,Mwanza,Sengerema,767915121,elabs2012@gmail.com
SENGEREMA HEALTH TRAINING INSTITUTE,SENGEREMA,Mwanza,Sengerema,754832527,principalshti@gmail.com
VOLCANO COLLEGE,,Arusha,Arusha,745308343,lazarusthobias@yahoo.com
ADILI HIGH SCHOOL,ARUSHA,Arusha,Arusha,0719908188,info@adilischool.ac.tz
KILIMANJARO ENG MED SCHOOL LTD,ARUSHA,Arusha,Arusha,769698877,kilimanjaroschools255@gmail.com
NEW LIFE OUTREACH LTD,ARUSHA,Arusha,Arusha,754898178,nicomabula@gmail.com
PEACE HOUSE SEC SCHOOL,ARUSHA,Arusha,Arusha,757748840,kisymollel@yahoo.com
ST.MARGARETH ACADEMY,ARUSHA,Arusha,Arusha,789242885,honest.tesha0@gmail.com
TRUST ST PATRICK SCHOOL,ARUSHA,Arusha,Arusha,758965704,mikelupe08@gmail.com
TRUST ST. PATRICK SCHOOL,ARUSHA,Arusha,,0755947257,dinnahpatrick@yahoo.com
UPENDO FRIENDS SCHOOL,ARUSHA,Arusha,,762756046,info@upendofriendsschool.org
YAKINI NURSERY AND PR SCHOOL,ARUSHA,Arusha,,758811222,watoto04@gmail.com
YAKINI SECONDARY SCHOOL,ARUSHA,Arusha,,718200083,yakinischools@gmail.com
SILVERNACHI ENGLISH MEDIU,KIJENGE,Arusha,Meru,713371004,silver.e.m.school@hotmail.com
NGARUMA VTC,MARANGU,Arusha,Moshi,712156690,vtcngaruma@gmail.com
OLALENI SECONDARY SCHOOL,MARANGU,Arusha,Arusha,756955080,vicmatoli@gmail.com
HEALSUN SCHOOL,MBEZI LUIS,Arusha,Arusha,754687720,ggunduasec9@gmail.com
HEALSUN TECHNICAL SCHOOL,MBEZI LUIS,Arusha,Arusha,767001136,gunduasec9@gmail.com
THE SINONI COLLEGE,MBEZI LUIS,Arusha,Arusha,754681220,lilianeduer@gmail.com
LOAMO,MERU,Arusha,Arusha,0754366369,loamosch2000@yahoo.com
ST MONICA SCHOOL,MERU,Arusha,,767764055,beanjeru@gmail.com
AFRICAACADEMY LIMITED,MIKOCHENI,Arusha,,68908,nhhatibu@gmail.com
LIGHT STARS ACADEMY LIMITED,MONDULI,Arusha,Monduli,784936392,marymkonyi@gmail.com
KIBOSHO GIRLS SECONDARY,MOSHI,Arusha,Moshi,756610368,kiboshogirls@hotmail.co.uk
OOLA SCHOOL LIMITED,MTO WA MBU,Arusha,Arusha,754854600,duncanjoel15@gmail.com
SASA SCHOOL,MTO WA MBU,Arusha,Arusha,744436809,sasaschool2014@gmail.com
SOTWA WILSON SCHOOL,SEKEI,Arusha,,622361904,sotwawilson@yahoo.com
ENABOISHU SECONDARY SCHOOL,SOKO KUU,Arusha,Arumeru,713885111,enaboishusecondaryschool@yahoo.com
TENGERU ENGLISH MEDIUM,TENGERU,Arusha,Arusha,767666435,tengeruenglishmedium@gmail.com
